Year,Title,Gross
1984,Falling in Love,"$11,129,057"
1984,Hard to Hold,"$11,113,806"
1984,The Wild Life,"$11,020,375"
1984,Broadway Danny Rose,"$10,600,497"
1984,Where the Boys Are,"$10,530,000"
1984,Thief of Hearts,"$10,435,015"
1984,Terror in the Aisles,"$10,004,817"
1984,Cloak and Dagger,"$9,719,952"
1984,Country,"$9,640,000"
1984,Bolero,"$8,914,881"
1984,Body Double,"$8,802,128"
1984,Oxford Blues,"$8,793,152"
1984,The Bounty,"$8,613,462"
1984,1984,"$8,430,492"
1984,Reckless,"$8,289,916"
1984,The Philadelphia Experiment,"$8,103,330"
1984,Streets of Fire,"$8,089,767"
1984,Just the Way You Are,"$7,889,694"
1984,The Little Drummer Girl,"$7,828,841"
1984,Ninja III: The Domination,"$7,610,785"
1984,Iceman,"$7,343,032"
1984,Hardbodies,"$7,121,719"
1984,Alphabet City,"$7,035,585"
1984,The Pope of Greenwich Village,"$6,836,201"
1984,Runaway,"$6,770,587"
1984,Swing Shift,"$6,650,206"
1984,The Razor's Edge,"$6,551,987"
1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,"$6,254,148"
1984,Firstborn,"$6,250,994"
1984,Racing with the Moon,"$6,045,647"
1984,Sheena,"$5,778,353"
1984,The Lonely Guy,"$5,718,573"
1984,Meatballs Part II,"$5,410,972"
1984,Stop Making Sense,"$5,384,161"
1984,Once Upon a Time in America,"$5,322,989"
1984,Love Letters,"$5,269,990"
1984,The Hotel New Hampshire,"$5,142,858"
1984,American Dreamer,"$5,021,751"
1984,No Small Affair,"$4,994,094"
1984,Harry & Son,"$4,864,980"
1984,"Grandview, U.S.A.","$4,743,119"
1984,C.H.U.D.,"$4,654,423"
1984,Making the Grade,"$4,561,346"
1984,This Is Spinal Tap,"$4,491,645"
1984,Joy of Sex,"$4,463,841"
1984,Mrs. Soffel,"$4,385,312"
1984,Until September,"$4,239,154"
1984,Pete's Dragon 1984 Re-release,"$4,100,000"
1984,Entre Nous,"$3,974,975"
1984,Flashpoint,"$3,854,833"
1984,Cheech & Chong's: The Corsican Brothers,"$3,772,785"
1984,Exterminator 2,"$3,739,406"
1984,The Brother from Another Planet,"$3,677,209"
1984,"Careful, He Might Hear You","$2,938,179"
1984,Crimes of Passion,"$2,912,945"
1984,The Warrior and the Sorceress,"$2,886,225"
1984,Phar Lap,"$2,878,404"
1984,Impulse,"$2,773,433"
1984,The Bear,"$2,687,148"
1984,Under the Volcano,"$2,556,800"
1984,"Silent Night, Deadly Night","$2,491,460"
1984,Choose Me,"$2,490,233"
1984,Stranger Than Paradise,"$2,454,363"
1984,A Sunday in the Country,"$2,411,143"
1984,"Paris, Texas","$2,213,299"
1984,Electric Dreams,"$2,193,612"
1984,Purple Hearts,"$2,075,282"
1984,The Buddy System,"$1,820,049"
1984,Body Rock,"$1,689,501"
1984,Misunderstood,"$1,525,532"
1984,Garbo Talks,"$1,493,782"
1984,Finders Keepers,"$1,467,396"
1984,Birdy,"$1,455,045"
1984,Sahara,"$1,402,962"
1984,Gabriela,"$1,318,839"
1984,A Christmas Story 1984 Re-release,"$1,311,065"
1984,The River Rat,"$1,142,944"
1984,Mike's Murder,"$1,059,966"
1984,Comfort and Joy,"$1,057,368"
1984,The Bostonians,"$1,009,700"
1984,The Power,"$929,162"
1984,Songwriter,"$865,915"
1984,Scandalous,"$526,805"
1984,Windy City,"$343,890"
1984,The Stone Boy,"$261,033"
1984,Champions,"$200,498"
1984,Razorback,"$150,140"
1984,Heartbreakers,"$148,750"
1984,Crackers,"$129,268"
1984,Repo Man,"$129,000"
1984,Eureka,"$123,572"
1984,Slayground,"$108,128"
1985,Out of Africa,"$225,526,205"
1985,Back to the Future,"$223,334,965"
1985,Rambo: First Blood Part II,"$150,415,432"
1985,Rocky IV,"$127,891,353"
1985,The Color Purple,"$94,175,854"
1985,Cocoon,"$76,113,124"
1985,The Jewel of the Nile,"$75,973,200"
1985,Witness,"$68,706,993"
1985,The Goonies,"$61,410,901"
1985,Spies Like Us,"$60,088,980"
1985,Police Academy 2: Their First Assignment,"$55,600,000"
1985,Fletch,"$50,612,888"
1985,A View to a Kill,"$50,328,158"
1985,National Lampoon's European Vacation,"$49,364,621"
1985,Mask,"$48,230,162"
1985,The Breakfast Club,"$45,876,558"
1985,White Nights,"$42,160,849"
1985,Pale Rider,"$41,410,568"
1985,Pee-wee's Big Adventure,"$40,940,662"
1985,Brewster's Millions,"$40,833,132"
1985,E.T. the Extra-Terrestrial 1985 Re-release,"$40,607,502"
1985,Jagged Edge,"$40,491,165"
1985,St. Elmo's Fire,"$37,803,872"
1985,Mad Max Beyond Thunderdome,"$36,230,925"
1985,Commando,"$35,100,000"
1985,Teen Wolf,"$33,087,306"
1985,One Hundred and One Dalmatians 1985 Re-release,"$33,049,729"
1985,Silverado,"$32,192,570"
1985,Murphy's Romance,"$30,867,525"
1985,A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213"
1985,Desperately Seeking Susan,"$27,398,584"
1985,Prizzi's Honor,"$26,657,534"
1985,The Last Dragon,"$25,755,277"
1985,Agnes of God,"$25,627,836"
1985,Fright Night,"$24,923,585"
1985,Summer Rental,"$24,689,703"
1985,The Emerald Forest,"$24,468,550"
1985,Weird Science,"$23,834,048"
1985,Santa Claus: The Movie,"$23,717,291"
1985,The Care Bears Movie,"$22,934,622"
1985,Friday the 13th: A New Beginning,"$21,930,418"
1985,The Black Cauldron,"$21,288,692"
1985,Porky's Revenge,"$20,518,905"
1985,Code of Silence,"$20,345,361"
1985,Volunteers,"$19,875,740"
1985,Young Sherlock Holmes,"$19,739,575"
1985,Year of the Dragon,"$18,707,466"
1985,Ladyhawke,"$18,432,000"
1985,The Sure Thing,"$18,135,531"
1985,Invasion U.S.A.,"$17,536,256"
1985,To Live and Die in L.A.,"$17,307,108"
1985,The Falcon and the Snowman,"$17,130,087"
1985,Kiss of the Spider Woman,"$17,005,229"
1985,Death Wish 3,"$16,116,878"
1985,King Solomon's Mines,"$15,057,465"
1985,Baby: Secret of the Lost Legend,"$14,972,297"
1985,Clue,"$14,643,997"
1985,Remo Williams: The Adventure Begins,"$14,393,902"
1985,The Return of the Living Dead,"$14,240,081"
1985,A Chorus Line,"$14,202,899"
1985,Tomboy,"$14,100,000"
1985,Follow That Bird,"$13,961,370"
1985,One Magic Christmas,"$13,677,222"
1985,Cat's Eye,"$13,086,298"
1985,Vision Quest,"$12,993,175"
1985,Real Genius,"$12,952,019"
1985,Perfect,"$12,918,858"
1985,Compromising Positions,"$12,531,831"
1985,Silver Bullet,"$12,361,866"
1985,Enemy Mine,"$12,303,411"
1985,Lifeforce,"$11,603,545"
1985,Just One of the Guys,"$11,528,900"
1985,Star Wars: Episode VI - Return of the Jedi 1985 Re-release,"$11,252,123"
1985,Return to Oz,"$11,137,801"
1985,Krush Groove,"$11,052,713"
1985,Gotcha!,"$10,806,919"
1985,Missing in Action 2: The Beginning,"$10,755,447"
1985,The Purple Rose of Cairo,"$10,631,333"
1985,Moving Violations,"$10,627,754"
1985,After Hours,"$10,610,050"
1985,American Ninja,"$10,499,694"
1985,Better Off Dead,"$10,297,601"
1985,Lost in America,"$10,179,000"
1985,Once Bitten,"$10,000,000"
1985,Brazil,"$9,929,135"
1985,Explorers,"$9,873,044"
1985,The Journey of Natty Gann,"$9,708,373"
1985,Ghostbusters 1985 Re-release,"$9,389,135"
1985,Tuff Turf,"$9,369,329"
1985,Sweet Dreams,"$9,085,049"
1985,Target,"$9,023,199"
1985,Mischief,"$8,692,426"
1985,The Man with One Red Shoe,"$8,645,411"
1985,That Was Then... This Is Now,"$8,630,068"
1985,Secret Admirer,"$8,622,757"
1985,Stick,"$8,489,518"
1985,Twice in a Lifetime,"$8,402,424"
1985,Fantasia 1985 Re-release,"$8,194,726"
1985,D.A.R.Y.L.,"$7,840,873"
1985,Runaway Train,"$7,683,620"
1985,He-Man and She-Ra: The Secret of the Sword,"$7,660,857"
1985,Into the Night,"$7,562,164"
1985,The Trip to Bountiful,"$7,491,903"
1985,Transylvania 6-5000,"$7,196,872"
1985,Red Sonja,"$6,948,633"
1985,Here Come the Littles,"$6,565,359"
1985,Girls Just Want to Have Fun,"$6,326,051"
1985,Plenty,"$6,148,000"
1985,Rustlers' Rhapsody,"$6,090,497"
1985,Heaven Help Us,"$6,070,794"
1985,Gymkata,"$5,730,596"
1985,Avenging Angel,"$5,622,787"
1985,Creator,"$5,349,607"
1985,King David,"$5,111,099"
1985,Day of the Dead,"$5,000,000"
1985,Gremlins 1985 Re-release,"$4,914,643"
1985,Rainbow Brite and the Star Stealer,"$4,889,971"
1985,The Company of Wolves,"$4,389,334"
1985,The Mean Season,"$4,349,446"
1985,That's Dancing!,"$4,210,938"
1985,My Science Project,"$4,122,748"
1985,Godzilla 1985,"$4,116,395"
1985,The Heavenly Kid,"$3,852,271"
1985,Ran,"$3,607,393"
1985,Turk 182,"$3,594,997"
1985,The Bride,"$3,558,669"
1985,Starchaser: The Legend of Orin,"$3,360,800"
1985,Fraternity Vacation,"$3,333,306"
1985,The Legend of Billie Jean,"$3,099,497"
1985,Rappin',"$2,864,844"
1985,Fast Forward,"$2,791,350"
1985,Hot Moves,"$2,732,684"
1985,Bad Medicine,"$2,685,453"
1985,Maxie,"$2,564,278"
1985,A Private Function,"$2,527,088"
1985,Marie,"$2,507,995"
1985,Dance with a Stranger,"$2,174,622"
1985,Blood Simple,"$2,150,000"
1985,The Quiet Earth,"$2,123,135"
1985,Re-Animator,"$2,024,021"
1985,Warning Sign,"$1,918,117"
1985,Bring on the Night,"$1,890,571"
1985,The Slugger's Wife,"$1,878,561"
1985,Heavenly Bodies,"$1,839,623"
1985,American Flyers,"$1,420,355"
1985,Certain Fury,"$1,381,091"
1985,The Perils of Gwendoline in the Land of the Yik Yak,"$1,337,274"
1985,The Aviator,"$1,304,192"
1985,Wetherby,"$1,299,985"
1985,Dreamchild,"$1,215,923"
1985,DEFCON-4,"$1,057,064"
1985,The Protector,"$981,817"
1985,The Hit,"$876,775"
1985,Fool for Love,"$836,156"
1985,Lust in the Dust,"$727,639"
1985,Pumping Iron II: The Women,"$628,050"
1985,Fever Pitch,"$618,847"
1985,Code Name: Emerald,"$561,548"
1985,Joshua Then and Now,"$542,420"
1985,Mishima: A Life in Four Chapters,"$502,758"
1985,Morons from Outer Space,"$441,137"
1985,The Holcroft Covenant,"$393,825"
1985,Subway,"$390,659"
1985,Sylvester,"$385,687"
1985,Movers & Shakers,"$372,438"
1985,Revolution,"$358,574"
1985,Private Resort,"$331,816"
1985,Eleni,"$305,102"
1985,The New Kids,"$199,108"
1985,The Bay Boy,"$162,364"
1985,The Doctor and the Devils,"$147,070"
1985,Petit Con,"$127,426"
1985,Almost You,"$95,000"
1985,Fandango,"$91,666"
1985,Wild Geese II,"$69,342"
1985,The Official Story,"$29,426"
1985,Trouble in Mind,"$19,632"
1985,Smooth Talk,"$16,785"
1985,When Father Was Away on Business,"$16,131"
1985,Colonel Redl,"$2,357"
1986,Top Gun,"$176,913,085"
1986,Crocodile Dundee,"$174,803,506"
1986,Platoon,"$138,545,632"
1986,The Karate Kid Part II,"$115,103,979"
1986,Star Trek IV: The Voyage Home,"$109,713,132"
1986,Back to School,"$91,258,000"
1986,Aliens,"$85,175,064"
1986,The Golden Child,"$79,817,937"
1986,Ruthless People,"$71,624,879"
1986,Ferris Bueller's Day Off,"$70,719,704"
1986,Down and Out in Beverly Hills,"$62,134,225"
1986,The Color of Money,"$52,293,982"
1986,Stand by Me,"$52,287,546"
1986,Legal Eagles,"$49,851,591"
1986,Cobra,"$49,042,224"
1986,An American Tail,"$47,483,002"
1986,Police Academy 3: Back in Training,"$43,579,163"
1986,Heartbreak Ridge,"$42,724,017"
1986,Peggy Sue Got Married,"$41,382,841"
1986,Poltergeist II: The Other Side,"$40,998,097"
1986,Short Circuit,"$40,697,761"
1986,Pretty in Pink,"$40,471,663"
1986,The Fly,"$40,457,197"
1986,Three Amigos!,"$39,246,734"
1986,Little Shop of Horrors,"$38,749,633"
1986,About Last Night,"$38,702,310"
1986,Running Scared,"$38,500,726"
1986,The Money Pit,"$37,499,651"
1986,Gung Ho,"$36,611,610"
1986,Hannah and Her Sisters,"$35,392,203"
1986,Nothing in Common,"$32,324,557"
1986,Children of a Lesser God,"$31,853,080"
1986,Lady and the Tramp 1986 Re-release,"$31,129,082"
1986,Jumpin' Jack Flash,"$29,844,101"
1986,Hoosiers,"$28,607,524"
1986,Soul Man,"$27,820,000"
1986,Wildcats,"$26,285,544"
1986,The Great Mouse Detective,"$25,336,794"
1986,Heartburn,"$25,314,189"
1986,The Morning After,"$25,147,055"
1986,Iron Eagle,"$24,159,872"
1986,Crimes of the Heart,"$22,905,522"
1986,Tough Guys,"$21,458,229"
1986,A Room with a View,"$21,040,996"
1986,F/X,"$20,603,715"
1986,Friday the 13th Part VI: Jason Lives,"$19,472,057"
1986,House,"$19,444,631"
1986,Flight of the Navigator,"$18,564,613"
1986,"Jo Jo Dancer, Your Life Is Calling","$18,034,150"
1986,The Delta Force,"$17,768,900"
1986,Song of the South 1986 Re-release,"$17,659,346"
1986,The Mission,"$17,218,023"
1986,Legend,"$16,837,628"
1986,Howard the Duck,"$16,295,774"
1986,Raw Deal,"$16,209,459"
1986,Armed and Dangerous,"$15,945,534"
1986,Youngblood,"$15,448,384"
1986,Sleeping Beauty 1986 Re-release,"$15,120,195"
1986,Psycho III,"$14,481,606"
1986,The Mosquito Coast,"$14,302,779"
1986,Sweet Liberty,"$14,205,021"
1986,One Crazy Summer,"$13,431,806"
1986,Extremities,"$13,418,091"
1986,Critters,"$13,167,232"
1986,April Fool's Day,"$12,947,763"
1986,Labyrinth,"$12,910,175"
1986,Club Paradise,"$12,308,521"
1986,No Mercy,"$12,303,904"
1986,Brighton Beach Memoirs,"$11,957,943"
1986,Firewalker,"$11,949,484"
1986,Big Trouble in Little China,"$11,100,000"
1986,Under the Cherry Moon,"$10,090,429"
1986,Murphy's Law,"$9,947,631"
1986,SpaceCamp,"$9,697,739"
1986,Deadly Friend,"$8,988,731"
1986,Manhunter,"$8,620,929"
1986,Blue Velvet,"$8,552,275"
1986,Care Bears Movie II: A New Generation,"$8,540,346"
1986,Wise Guys,"$8,475,466"
1986,Something Wild,"$8,362,969"
1986,Lucas,"$8,200,000"
1986,Haunted Honeymoon,"$8,033,397"
1986,The Texas Chainsaw Massacre 2,"$8,025,872"
1986,The Best of Times,"$7,790,931"
1986,Quicksilver,"$7,634,909"
1986,Maximum Overdrive,"$7,433,663"
1986,Witchboard,"$7,369,373"
1986,The Boy Who Could Fly,"$7,177,431"
1986,The Name of the Rose,"$7,153,487"
1986,She's Gotta Have It,"$7,137,502"
1986,Blue City,"$6,947,787"
1986,Trick or Treat,"$6,797,218"
1986,9½ Weeks,"$6,735,922"
1986,Black Moon Rising,"$6,637,565"
1986,Just Between Friends,"$6,408,791"
1986,A Fine Mess,"$6,029,824"
1986,My Little Pony: The Movie,"$5,958,456"
1986,Highlander,"$5,900,000"
1986,The Transformers: The Movie,"$5,849,647"
1986,The Hitcher,"$5,844,868"
1986,Crossroads,"$5,839,031"
1986,Mona Lisa,"$5,794,184"
1986,Troll,"$5,450,815"
1986,52 Pick-Up,"$5,186,646"
1986,Out of Bounds,"$5,099,316"
1986,Vamp,"$4,941,117"
1986,Invaders from Mars,"$4,884,663"
1986,Band of the Hand,"$4,865,912"
1986,American Anthem,"$4,845,724"
1986,Off Beat,"$4,842,778"
1986,My Chauffeur,"$4,781,448"
1986,Violets Are Blue...,"$4,743,287"
1986,King Kong Lives,"$4,711,220"
1986,Avenging Force,"$4,679,650"
1986,"No Retreat, No Surrender","$4,662,137"
1986,Fire with Fire,"$4,636,169"
1986,Eliminators,"$4,601,256"
1986,That's Life!,"$4,079,895"
1986,Tai-Pan,"$4,007,250"
1986,The Manhattan Project,"$3,900,000"
1986,Power,"$3,800,000"
1986,The Wraith,"$3,500,000"
1986,Head Office,"$3,393,807"
1986,Born American,"$3,388,020"
1986,'Round Midnight,"$3,272,593"
1986,The Naked Cage,"$3,136,701"
1986,Bullies,"$2,995,527"
1986,Sid and Nancy,"$2,826,523"
1986,Deadtime Stories,"$2,750,741"
1986,Playing for Keeps,"$2,669,366"
1986,Heathcliff: The Movie,"$2,610,686"
1986,The Men's Club,"$2,556,361"
1986,Streets of Gold,"$2,546,238"
1986,True Stories,"$2,545,142"
1986,Reform School Girls,"$2,510,433"
1986,P.O.W. the Escape,"$2,497,233"
1986,Desert Hearts,"$2,492,088"
1986,My Beautiful Laundrette,"$2,451,545"
1986,"Hey There, It's Yogi Bear","$2,438,233"
1986,Dangerously Close,"$2,390,525"
1986,At Close Range,"$2,347,000"
1986,Shanghai Surprise,"$2,315,683"
1986,Sky Bandits,"$2,295,500"
1986,Nomads,"$2,278,264"
1986,Turtle Diary,"$2,156,772"
1986,Three Men and a Cradle,"$2,052,466"
1986,Rad,"$2,015,882"
1986,Betty Blue,"$2,003,822"
1986,The Clan of the Cave Bear,"$1,953,732"
1986,Jake Speed,"$1,943,751"
1986,The Decline of the American Empire,"$1,902,706"
1986,Quiet Cool,"$1,900,000"
1986,Link,"$1,720,450"
1986,Pirates,"$1,641,825"
1986,Solarbabies,"$1,579,260"
1986,Salvador,"$1,500,000"
1986,Clockwise,"$1,476,356"
1986,Down by Law,"$1,435,668"
1986,GoBots: Battle of the Rock Lords,"$1,338,264"
1986,8 Million Ways to Die,"$1,305,114"
1986,Native Son,"$1,301,121"
1986,The Adventures of the American Rabbit,"$1,268,443"
1986,From Beyond,"$1,261,000"
1986,Water,"$1,256,862"
1986,Touch and Go,"$1,254,040"
1986,Home of the Brave: A Film by Laurie Anderson,"$1,250,000"
1986,Belizaire the Cajun,"$1,142,243"
1986,Half Moon Street,"$1,131,399"
1986,Absolute Beginners,"$930,211"
1986,Marlene,"$852,676"
1986,The Adventures of Mark Twain,"$849,915"
1986,Ginger & Fred,"$837,623"
1986,Nutcracker,"$781,727"
1986,Defense of the Realm,"$750,000"
1986,Where the River Runs Black,"$676,166"
1986,Modern Girls,"$604,849"
1986,Knights of the City,"$601,451"
1986,Code Name: Wild Geese,"$600,000"
1986,Night of the Creeps,"$591,366"
1986,Nobody's Fool,"$563,358"
1986,The Assault,"$512,403"
1986,Dream Lover,"$502,237"
1986,"'night, Mother","$441,863"
1986,Desert Bloom,"$416,393"
1986,Weekend Warriors,"$351,623"
1986,La Cage aux Folles 3: The Wedding,"$345,280"
1986,TerrorVision,"$320,256"
1986,Every Time We Say Goodbye,"$278,623"
1986,Lady Jane,"$277,646"
1986,Willy/Milly,"$277,405"
1986,The Boy in Blue,"$275,000"
1986,The Gospel According to Vic,"$267,249"
1986,Radioactive Dreams,"$220,038"
1986,The Girl in the Picture,"$202,428"
1986,The Mission 2008 Re-release,"$141,112"
1986,Let's Get Harry,"$140,980"
1986,Stewardess School,"$136,158"
1986,Jocks,"$120,808"
1986,Stripper,"$90,000"
1986,16 Days of Glory,"$83,857"
1987,Three Men and a Baby,"$167,780,960"
1987,Fatal Attraction,"$156,645,756"
1987,Beverly Hills Cop II,"$153,665,036"
1987,"Good Morning, Vietnam","$123,922,578"
1987,Moonstruck,"$80,641,316"
1987,The Untouchables,"$76,270,454"
1987,The Secret of My Success,"$66,995,879"
1987,Stakeout,"$65,673,233"
1987,Lethal Weapon,"$65,207,187"
1987,The Witches of Eastwick,"$63,766,510"
1987,Dirty Dancing,"$63,462,345"
1987,Predator,"$59,739,418"
1987,Throw Momma from the Train,"$57,915,972"
1987,Dragnet,"$57,387,516"
1987,La Bamba,"$54,215,416"
1987,RoboCop,"$53,424,681"
1987,Outrageous Fortune,"$52,864,741"
1987,Broadcast News,"$51,249,404"
1987,The Living Daylights,"$51,186,196"
1987,Eddie Murphy: Raw,"$50,504,655"
1987,"Planes, Trains & Automobiles","$49,530,280"
1987,Snow White and the Seven Dwarfs 1987 Re-release,"$46,594,212"
1987,Full Metal Jacket,"$46,360,743"
1987,A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222"
1987,The Last Emperor,"$43,985,340"
1987,Wall Street,"$43,848,069"
1987,Mannequin,"$42,721,196"
1987,Roxanne,"$40,050,884"
1987,Blind Date,"$39,321,715"
1987,The Running Man,"$38,122,105"
1987,Spaceballs,"$38,119,483"
1987,Summer School,"$35,659,098"
1987,No Way Out,"$35,509,515"
1987,Like Father Like Son,"$34,377,585"
1987,Adventures in Babysitting,"$34,368,475"
1987,Cinderella 1987 Re-release,"$34,101,149"
1987,*batteries not included,"$32,945,797"
1987,The Lost Boys,"$32,222,567"
1987,Can't Buy Me Love,"$31,623,833"
1987,Nuts,"$30,950,002"
1987,The Princess Bride,"$30,902,112"
1987,Superman IV: The Quest for Peace,"$30,281,020"
1987,Revenge of the Nerds II: Nerds in Paradise,"$30,063,289"
1987,Harry and the Hendersons,"$29,760,613"
1987,Police Academy 4: Citizens on Patrol,"$28,061,343"
1987,Overboard,"$26,713,187"
1987,Baby Boom,"$26,712,476"
1987,Innerspace,"$25,893,810"
1987,Tin Men,"$25,411,386"
1987,Black Widow,"$25,205,460"
1987,Ernest Goes to Camp,"$23,509,382"
1987,Raising Arizona,"$22,847,564"
1987,Benji the Hunted,"$22,257,624"
1987,Empire of the Sun,"$22,238,696"
1987,Jaws: The Revenge,"$20,763,013"
1987,Hello Again,"$20,419,446"
1987,Critical Condition,"$20,240,502"
1987,The Principal,"$19,734,940"
1987,Suspect,"$18,782,400"
1987,The Believers,"$18,753,438"
1987,Some Kind of Wonderful,"$18,553,948"
1987,Project X,"$18,532,286"
1987,The Big Easy,"$17,685,307"
1987,The Aristocats 1987 Re-release,"$17,452,658"
1987,Born in East L.A.,"$17,355,263"
1987,Masters of the Universe,"$17,336,683"
1987,Angel Heart,"$17,185,632"
1987,Burglar,"$16,337,355"
1987,Over the Top,"$16,057,580"
1987,Flowers in the Attic,"$15,151,736"
1987,Radio Days,"$14,792,779"
1987,Hellraiser,"$14,564,027"
1987,Ishtar,"$14,375,181"
1987,Prince of Darkness,"$14,182,492"
1987,Creepshow 2,"$14,000,000"
1987,Hamburger Hill,"$13,839,404"
1987,The Gate,"$13,539,458"
1987,The Pick-up Artist,"$13,290,368"
1987,Back to the Beach,"$13,110,903"
1987,The Bedroom Window,"$12,640,385"
1987,The Fourth Protocol,"$12,423,831"
1987,Less Than Zero,"$12,396,383"
1987,Fatal Beauty,"$12,046,526"
1987,Extreme Prejudice,"$11,307,844"
1987,Light of Day,"$10,489,617"
1987,Disorderlies,"$10,348,437"
1987,Someone to Watch Over Me,"$10,278,549"
1987,Hope and Glory,"$10,021,120"
1987,Maid to Order,"$9,868,521"
1987,The Hidden,"$9,747,988"
1987,From the Hip,"$9,518,342"
1987,My Life as a Dog,"$8,345,266"
1987,Teen Wolf Too,"$7,888,703"
1987,House II: The Second Story,"$7,800,000"
1987,Wanted: Dead or Alive,"$7,555,000"
1987,Ironweed,"$7,393,346"
1987,Who's That Girl,"$7,305,209"
1987,Hiding Out,"$7,019,441"
1987,Death Wish 4: The Crackdown,"$6,880,310"
1987,The Chipmunk Adventure,"$6,804,312"
1987,Assassination,"$6,075,793"
1987,Evil Dead II,"$5,924,743"
1987,Cry Freedom,"$5,899,797"
1987,Wisdom,"$5,715,174"
1987,Surrender,"$5,711,976"
1987,Nadine,"$5,669,831"
1987,The Sicilian,"$5,406,879"
1987,Gardens of Stone,"$5,262,047"
1987,Hollywood Shuffle,"$5,228,617"
1987,Jean de Florette,"$4,940,939"
1987,Hannah and Her Sisters 1987 Re-release,"$4,691,838"
1987,Leonard Part 6,"$4,615,255"
1987,River's Edge,"$4,600,000"
1987,Made in Heaven,"$4,572,845"
1987,Death Before Dishonor,"$4,546,244"
1987,The Dead,"$4,370,078"
1987,The Color Purple 1987 Re-release,"$4,292,009"
1987,Best Seller,"$4,278,150"
1987,Hot Pursuit,"$4,215,849"
1987,American Ninja 2: The Confrontation,"$4,000,000"
1987,Manon of the Spring,"$3,940,542"
1987,My Demon Lover,"$3,922,273"
1987,North Shore,"$3,832,228"
1987,The Monster Squad,"$3,769,990"
1987,Allan Quatermain and the Lost City of Gold,"$3,751,699"
1987,Three O'Clock High,"$3,685,862"
1987,Big Shots,"$3,390,043"
1987,Near Dark,"$3,369,628"
1987,Wish You Were Here,"$3,283,832"
1987,Pinocchio and the Emperor of the Night,"$3,261,638"
1987,Barfly,"$3,221,568"
1987,Malone,"$3,060,858"
1987,Sign 'o' the Times,"$3,000,073"
1987,No Man's Land,"$2,877,571"
1987,Heat,"$2,793,214"
1987,The Allnighter,"$2,700,000"
1987,Hello Mary Lou: Prom Night II,"$2,683,519"
1987,The Care Bears Adventure in Wonderland,"$2,608,000"
